Id,Id2,City_State,Population,NoHighSchoolDiploma,HighSchoolDiploma,SomeCollegeAssoc,BachelorsOrhigher,MedianIncome,EnglishOnly,LanguageNotEnglish,Spanish,AsianLanguages,AllAvailableUnits,Median_Rent
310M200US12260,12260,"Auburn, AL",575669,21.2,34.4,37.5,7,32586,93.6,6.4,3.4,1.2,36790,550-599
310M200US12420,12420,"Augusta, GA",1835016,13.1,23.7,51.9,11.2,38750,72.2,27.8,21.7,3.1,58065,1000-1249
310M200US12540,12540,"Austin, TX",857730,20.9,35.5,40,3.6,30127,57.4,42.6,37.8,2.6,30038,650-699
310M200US12580,12580,"Bakersfield, CA",2753396,11.9,29.9,45,13.3,46977,88.5,11.5,3.9,2.9,108076,1000-1249
310M200US12620,12620,"Baltimore, MD",153627,9.8,22.3,59.1,8.7,31850,95.7,4.3,0.7,0.7,11901,800-899
310M200US12700,12700,"Bangor, ME",215167,11.4,36.8,40.9,10.8,38587,92,8,1.6,0.7,66582,900-999
310M200US12940,12940,"Barnstable, MA",814805,16.3,26.1,48.6,9.1,37565,93.5,6.5,3,1.4,36948,800-899
310M200US12980,12980,"Baton Rouge, LA",135150,17.1,32.1,45,5.8,31473,94.2,5.8,3,1.6,7990,500-549
310M200US13020,13020,"Battle Creek, MI",107074,14,34.2,44.5,7.3,31966,96.9,3.1,1.4,0.3,4388,500-549
310M200US13140,13140,"Bay City, MI",404741,18.4,38.1,38.4,5,32621,85.4,14.6,11,1.9,22406,500-549
310M200US13220,13220,"Beaumont, TX",124536,16.7,41.2,35.6,6.4,30673,97,3,1.5,0.3,8809,400-449
310M200US13380,13380,"Beckley, WV",204855,10,21.2,61.6,7.2,34525,87.7,12.3,5.6,2.5,11610,1000-1249
310M200US13460,13460,"Bellingham, WA",163141,15.7,28.5,50.1,5.7,30451,93.3,6.7,4.7,0.8,16028,650-699
310M200US13740,13740,"Bend, OR",162892,16.2,38.3,38.1,7.4,32360,96.3,3.7,1.5,0.5,6022,400-449
310M200US13780,13780,"Billings, MT",249261,10.2,27.7,50.5,11.6,33310,91.9,8.1,2,1.9,12709,500-549
310M200US13820,13820,"Binghamton, NY",1135534,16,30.4,44.5,9.2,35652,94.2,5.8,3.9,0.7,67706,500-549
310M200US13900,13900,"Birmingham, AL",120688,7.7,28.9,53.9,9.5,38960,95.1,4.9,1,0.4,3185,Margin of Error; Total: - $550 to $599
310M200US13980,13980,"Bismarck, ND",179908,3.9,16.2,69.4,10.5,33887,92.5,7.5,1.8,2.4,10184,350-399
310M200US14010,14010,"Blacksburg, VA",188851,6.9,16.2,66.3,10.7,40997,92.6,7.4,2.5,2.2,6843,600-649
310M200US14020,14020,"Bloomington, IL",162422,4.8,20.2,63.4,11.6,31776,90.5,9.5,2.1,4.1,7219,800-899
310M200US14100,14100,"Bloomington, IN",85564,8,30.6,54.5,6.8,33754,96,4,1.3,0.8,3815,500-549
310M200US14260,14260,"Bloomsburg, PA",639616,14.1,33.8,43.6,8.5,31718,88.3,11.7,8.2,1.4,17837,900-999
310M200US14460,14460,"Boise City, ID",4650876,10.2,26.6,45,18.2,47611,76.8,23.2,8.1,4.8,125835,1000-1249
310M200US14500,14500,"Boston, MA",305166,5.7,17.9,59.7,16.7,42120,83.8,16.2,9.6,2.4,7074,1000-1249
310M200US14540,14540,"Boulder, CO",162322,9.6,30.6,52.8,7,31265,91.1,8.9,3.4,1.7,7347,400-449
310M200US14740,14740,"Bowling, KY",253614,13.2,38.7,41.8,6.4,40994,91.5,8.5,2.8,3.8,10289,1000-1249
310M200US14860,14860,"Bremerton, WA",934215,15.4,27.8,40.5,16.3,49036,71.6,28.4,14.9,2.7,29114,1000-1249
310M200US15180,15180,"Bridgeport, CT",415103,24.1,32,40.8,3.1,23386,26,74,73.1,0.4,24485,400-449
310M200US15260,15260,"Brownsville, TX",113572,18.9,42.9,33.8,4.5,29504,92.7,7.3,5.1,1.1,15221,500-549
310M200US15380,15380,"Brunswick, GA",1135667,11,27.4,47.4,14.2,37201,91.1,8.9,2.8,1.5,49686,500-549
310M200US15500,15500,"Buffalo, NY",153713,19.2,25.6,48.3,6.9,30963,87.8,12.2,10,0.8,6441,500-549
310M200US15540,15540,"Burlington, NC",213891,7.2,18.9,59.2,14.6,39632,92.8,7.2,1.1,1.2,8557,1000-1249
310M200US15680,15680,"Burlington, VY",108472,14.9,27.8,47.7,9.6,51944,93,7,2.8,1.7,4383,1250-1499
310M200US15940,15940,"California, MD",403629,14.3,32.4,45.8,7.5,31692,96.4,3.6,1.2,0.4,18236,450-499
310M200US15980,15980,"Canton, OH",647554,20.4,33.3,40.6,5.7,28703,78.6,21.4,15.7,0.9,126708,800-899
310M200US16020,16020,"Cape Coral, FL",97246,11.8,24.3,56.4,7.5,31126,96.8,3.2,1.1,0.7,5306,500-549
310M200US16060,16060,"Cape Girardeau, MI",126933,6.6,25,59.4,9,30355,94,6,2.1,1.4,9007,500-549
310M200US16180,16180,"Carbondale, IL",54634,16.7,35.2,43.2,4.9,31802,79.5,20.5,17.1,1.3,2275,500-549
310M200US16220,16220,"Carson City, NY",78667,16.8,34,44.6,4.6,36761,94.4,5.6,4,0.5,3110,Margin of Error; Total: - $650 to $699
310M200US16300,16300,"Casper, WY",261429,12.2,25.5,52.5,9.8,39233,95.8,4.2,1.8,0.9,8088,400-449
310M200US16540,16540,"Cedar Rapids, IA",151517,18.7,44.2,29.9,7.2,35474,92.7,7.3,4.3,0.6,5481,900-999
310M200US16580,16580,"Chambersburg, PA",234672,5.2,15.5,64.7,14.5,35508,85.9,14.1,3.8,6.3,10084,600-649
310M200US16620,16620,"Champaign, IL",225248,21,33,37.9,8,33590,98,2,0.6,0.5,12477,550-599
310M200US16700,16700,"Charleston, SC",697281,14.3,27.7,47.4,10.7,35022,92.9,7.1,4.3,1.2,40437,800-899
310M200US16740,16740,"Charleston, WV",2298915,17.6,28.8,43.8,9.8,35668,87.2,12.8,8.2,1.8,93805,500-549
310M200US16820,16820,"Charlotte, NC",223063,7.3,29,49.3,14.4,39084,90.6,9.4,3.6,2.4,13231,1000-1249
310M200US16860,16860,"Charlottesville, VA",537397,16,30.5,47.1,6.4,32380,95,5,2.7,0.9,27119,550-599
310M200US16940,16940,"Chattanooga, TN",94412,13.1,32.3,47.2,7.4,38099,93.4,6.6,4.6,0.9,3607,650-699
310M200US16980,16980,"Cheyenne, WY",9516448,15,28.6,42.7,13.7,40318,71.2,28.8,17.1,3.4,360695,800-899
310M200US17020,17020,"Chicago, IL",221578,8.5,23.7,60.8,7.1,31330,86.7,13.3,8.2,3.3,11485,700-749
310M200US17140,17140,"Chico, CA",2131793,13,32.5,43.6,10.9,37833,94.1,5.9,2.3,1.2,97311,500-549
310M200US17300,17300,"Cincinnati, OH",270751,10.4,38.7,44.8,6.2,32399,91.2,8.8,4.4,1.6,14528,550-599
310M200US17420,17420,"Clarksville, TN",117719,12.6,36.5,45.1,5.8,29181,94.1,5.9,3.7,0.4,5667,500-549
310M200US17460,17460,"Cleveland, OH",2067490,18,29.9,40.9,11.1,36577,90.2,9.8,3.3,1.2,109160,500-549
310M200US17660,17660,"Cleveland, TN",142783,16.6,35,43.7,4.7,30312,96.9,3.1,1.2,0.4,8718,"Margin of Error; Total: - $1,500 to $1,999"
310M200US17780,17780,"Coeur d/Alene, ID",235316,5.4,13.6,69.2,11.7,32493,77.8,22.2,16.2,3.3,13379,1000-1249
310M200US17820,17820,"College Station, TX",669070,11.8,30.4,50.2,7.5,36724,88.7,11.3,6.8,1.9,19790,1000-1249
310M200US17860,17860,"Colorado Springs, CO",168268,3.9,11.6,68.7,15.8,35844,92,8,1.9,2.9,5096,650-699
310M200US17900,17900,"Columbia, MO",784698,11.6,30.4,48.7,9.3,33845,92.7,7.3,4.3,1.2,40148,550-599
310M200US17980,17980,"Columbia, SC",308363,15.4,33.9,44.8,6,31277,91.7,8.3,4.7,1.3,18766,500-549
310M200US18020,18020,"Columbus, GA",78628,21.3,41.1,27.3,10.3,36565,90.1,9.9,5.1,2.5,2764,700-749
310M200US18140,18140,"Columbus, IN",1948188,13.8,27.1,46.6,12.5,38232,90.9,9.1,2.7,2.1,80842,500-549
310M200US18580,18580,"Columbus, OH",437528,17.5,33.9,41.6,6.9,31734,62,38,35.7,1.1,27695,800-899
310M200US18700,18700,"Corpus Christi, TX",86034,3.9,12.6,72.9,10.6,34215,87.2,12.8,5.6,3.9,3325,900-999
310M200US18880,18880,"Corvallis, OR",246805,14.8,33.7,44.8,6.6,31947,90.6,9.4,5.5,1.9,43438,1000-1249
310M200US19060,19060,"Crestview, FL",101888,11,32.7,51.7,4.5,30537,96.3,3.7,1.5,0.5,6728,500-549
310M200US19100,19100,"Cumberland, MD",6703020,18.3,30,42.4,9.3,38748,70,30,22.6,3.6,211785,800-899
310M200US19140,19140,"Dallas, TX",142548,25.2,31.8,37.4,5.6,27437,74.3,25.7,24,0.6,6891,600-649
310M200US19180,19180,"Dalton, GA",80773,18.8,39.3,36.9,5,32073,95.3,4.7,3.2,0.5,4536,350-399
310M200US19300,19300,"Danville, IL",191205,20.7,32.3,38.4,8.5,31463,94.1,5.9,3.8,0.8,32505,2000+
310M200US19340,19340,"Daphne, AL",381913,14.8,29.1,46.5,9.7,35029,92.3,7.7,4.6,1.2,13217,550-599
310M200US19380,19380,"Davenport, IA",801259,13.1,25.4,52.7,8.8,33925,94.7,5.3,1.7,1.5,40101,450-499
310M200US19460,19460,"Dayton, OH",153579,19.3,31.3,44.1,5.2,31089,93.4,6.6,5.6,0.2,7346,500-549
310M200US19500,19500,"Decatur, AL",109833,12,31.4,50.4,6.1,33479,96.2,3.8,1.6,0.8,5271,350-399
310M200US19660,19660,"Decatur, IL",597824,16.3,31.2,47.1,5.4,29685,86.5,13.5,8.6,1.1,70817,800-899
310M200US19740,19740,"Deltona, FL",2651392,17.2,28.8,40.9,13.1,41389,79.9,20.1,13.6,2.6,67403,1000-1249
310M200US19780,19780,"Denver, CO",590741,13.2,28.3,43.8,14.7,40332,89.3,10.7,5.1,2.3,16735,600-649
310M200US19820,19820,"Des Moines, IA",4292647,16.1,29.9,44.8,9.2,37434,87.6,12.4,2.8,1.8,230062,800-899
310M200US20020,20020,"Detroit, MI",147165,20.3,37.3,37.3,5.1,30176,95.9,4.1,2.7,0.6,10182,350-399
310M200US20100,20100,"Dothan, AL",167477,14.5,27.3,51.1,7.2,36382,91.2,8.8,4,1.3,7510,1000-1249
310M200US20220,20220,"Dover, DE",95166,7.7,24,58.2,10,33849,96.7,3.3,1.5,0.8,2050,400-449
310M200US20260,20260,"Dubuque, IA",279894,10.2,23.1,58.1,8.7,33276,96.1,3.9,1.2,0.6,24608,500-549
310M200US20500,20500,"Duluth, MN",525050,12.2,21.7,50.2,16,36599,83.3,16.7,10.3,3,20606,1000-1249
310M200US20700,20700,"Durham, NC",168342,10,37.4,45.6,7,34478,85.3,14.7,8.4,1.2,22908,1000-1249
310M200US20740,20740,"East Stroudsburg, PA",163658,9.1,28.1,56.3,6.5,32514,95.1,4.9,1.1,1.7,5222,450-499
310M200US20940,20940,"Eau Claire, WI",177026,21.7,27.6,48.2,2.4,27458,25.7,74.3,72.6,1,9528,1250-1499
310M200US21060,21060,"El Centro, CA",150917,11.7,43.7,39.3,5.3,32402,94,6,2.7,1.1,7218,650-699
310M200US21140,21140,"El Paso, TX",199544,27.9,35.1,33.1,3.9,31454,81.5,18.5,11.9,0.8,7413,450-499
310M200US21300,21300,"Elizabethtown, KY",88681,12.3,33.5,46.4,7.9,35770,96.1,3.9,1.4,0.6,2986,450-499
310M200US21340,21340,"Elkhart, IN",827206,15.8,31,47.7,5.5,26662,27.3,72.7,70.6,0.8,21807,1000-1249
310M200US21500,21500,"Elmira, NY",280132,11.9,31.7,46.5,9.8,31852,93.4,6.6,2.1,0.7,9806,500-549
310M200US21660,21660,"Erie, PA",354764,8.9,23.3,60.5,7.3,29824,91.4,8.6,4.9,1.7,11188,900-999
310M200US21780,21780,"Eugene, OR",313450,15.5,30.4,46.4,7.8,33756,96.4,3.6,1.6,0.8,13341,500-549
310M200US21820,21820,"Evansville, IN",99319,14,29.7,49.6,6.7,43753,90.2,9.8,3.5,2.5,5892,1500-1999
310M200US22020,22020,"Fairbanks, AK",218290,5.3,21,61.2,12.5,37371,93.1,6.9,1.4,1.1,6044,650-699
310M200US22140,22140,"Fargo, ND",127358,22.5,34.4,41.7,1.4,32374,67.4,32.6,10.5,0.3,8834,1000-1249
310M200US22180,22180,"Farmington, NM",374036,13.4,34.6,45,6.9,32440,88.5,11.5,7.3,2,20735,1000-1249
310M200US22220,22220,"Fayetteville, AR",483396,13,31.6,46,9.5,33347,84.4,15.6,11.7,2.5,23204,500-549
310M200US22380,22380,"Fayetteville, NC",135817,10,25.4,58.1,6.5,32091,75.7,24.3,7.8,1.1,17499,1000-1249
310M200US22420,22420,"Flagstaff, AZ",418654,19.8,31.8,42.8,5.6,30747,96.4,3.6,1.2,0.5,25485,500-549
310M200US22500,22500,"Flint, MI",206219,20.9,29.7,43.1,6.3,30671,96.6,3.4,2,0.4,11119,500-549
310M200US22520,22520,"Florence, AL",147271,15.1,26.9,53.5,4.5,31264,97.3,2.7,1.8,0.4,8884,400-449
310M200US22540,22540,"Florence, SC",101709,11.7,34,47.5,6.7,35874,94,6,3.8,0.9,2933,500-549
310M200US22660,22660,"Fond du Lac, WI",311435,6.7,20.4,61.2,11.7,36923,91.5,8.5,5.2,1.1,12476,800-899
310M200US22900,22900,"Fort Collins, CO",280394,19.1,38.8,38,4.1,28977,90.3,9.7,6.5,2,15361,400-449
310M200US23060,23060,"Fort Smith, AR",422029,18.4,29.7,42.8,9,34729,91.2,8.8,4.4,1.9,15942,550-599
310M200US23420,23420,"Fort Wayne, IN",948844,19,27.3,49,4.7,29048,56,44,33.5,6.4,27362,800-899
310M200US23460,23460,"Fresno, CA",104126,21.1,31.5,43.5,3.9,28900,96.8,3.2,2.1,0.4,7506,450-499
310M200US23540,23540,"Gadsden, AL",268707,7.2,12.7,64.6,15.6,34032,87.1,12.9,5.9,2.9,18163,1000-1249
310M200US23580,23580,"Gainesville, FL",185318,22.9,36.2,36.8,4.1,31019,73,27,24.4,1.2,7692,650-699
310M200US23900,23900,"Gainesville, GA",101566,10.4,36.5,46.1,7,34972,93.8,6.2,4.7,0.4,3122,750-799
310M200US24020,24020,"Gettysburg, PA",128298,16.8,38.7,36.9,7.6,33366,96.2,3.8,1.8,0.4,15965,700-749
310M200US24140,24140,"Glens Falls, NY",124093,19.3,30.2,46.8,3.7,29420,88.5,11.5,9.3,0.8,5594,300-349
310M200US24220,24220,"Goldsboro, NC",99774,5.4,20.8,65.2,8.7,35377,93.5,6.5,2.4,1.1,4065,800-899
310M200US24260,24260,"Grand Forks, ND",83426,21.4,37.8,36.8,3.9,30529,84.5,15.5,13.6,0.5,2621,350-399
310M200US24300,24300,"Grand Island, NE",147509,16.9,26.7,52.5,3.8,32515,93,7,5.7,0.4,4264,Margin of Error; Total: - $750 to $799
310M200US24340,24340,"Grand Junction, CO",1007329,12.8,26.5,50.2,10.6,33986,90.1,9.9,6.1,1.5,33976,650-699
310M200US24420,24420,"Grand Rapids, MI",83021,21,34.9,41.2,2.9,24922,95.1,4.9,3,0.5,3828,1500-1999
310M200US24500,24500,"Grants Pass, OR",81953,14.9,33.7,45.1,6.3,30300,96,4,1.2,0.8,3769,500-549
310M200US24540,24540,"Great Falls, MT",265066,14.7,29.5,49.1,6.7,36540,81.3,18.7,16.5,0.8,5535,800-899
310M200US24580,24580,"Greeley, CO",310726,16.8,31.5,43.7,8,35367,91.2,8.8,5.4,1.8,15556,450-499
310M200US24660,24660,"Green Bay, WI",735777,14.8,28.5,48.2,8.5,31890,88.5,11.5,6.7,2.1,35021,500-549
310M200US24780,24780,"Greensboro, NC",172438,7.5,18.2,63.4,10.9,33182,92.5,7.5,5.1,1,9417,450-499
310M200US24860,24860,"Greenville, NC",842817,16.2,26.6,48.5,8.7,32910,92,8,5.3,1,45008,650-699
310M200US25060,25060,"Greenville, SC",378972,16.9,32.7,46.1,4.2,31517,93.4,6.6,3.6,2,28090,600-649
310M200US25180,25180,"Gulfport, MS",256237,17.3,36.5,37.4,8.8,37079,93.9,6.1,3,1.1,10100,800-899
310M200US25220,25220,"Hagerstown, MD",124125,16.9,26.3,51.3,5.5,31703,94.9,5.1,3.3,0.6,6336,650-699
310M200US25260,25260,"Hammond, LA",151390,24.6,28.2,44.2,3,30358,57.8,42.2,37,2.6,3279,600-649
310M200US25420,25420,"Hanford, CA",555154,14,30.4,45.6,10,38109,90.9,9.1,3.2,1.7,20000,800-899
