Id,Id2,City_State,NoHighSchoolDiploma,HighSchoolDiploma,SomeCollegeAssoc,BachelorsOrhigher,MedianIncome
310M200US47460,47460,"Waco, TX",16,28.3,50.9,4.8,30514
310M200US47580,47580,"Walla Walla, WA",13.4,34.4,46.4,5.9,34564
310M200US47900,47900,"Warner, GA",13.1,26.7,42.6,17.6,53213
310M200US47940,47940,"Waterloo, IA",6.9,20.7,64,8.4,34345
310M200US48060,48060,"Watertown, NY",8.3,42.3,43.4,6.1,33335
310M200US48140,48140,"Wausau, WI",12.7,40.9,40.5,5.9,34897
310M200US48260,48260,"Weirton, WV",11.5,29.5,51.9,7.1,30634
310M200US48300,48300,"Wenatchee, WA",22.1,34.4,39.3,4.1,30367
310M200US48540,48540,"Wheeling, WV",16,33.3,43.5,7.2,29167
310M200US48620,48620,"Wichita Falls, TX",16.1,28.4,46.6,8.9,35254
310M200US48660,48660,"Wichita, KS",9.7,37.1,46.2,7.1,32262
310M200US48700,48700,"Williamsport, PA",13.4,33.5,45.1,7.9,31559
310M200US48900,48900,"Wilmington, NC",11.4,23.9,54.1,10.6,32859
310M200US49020,49020,"Winchester, VA",16.5,36.1,39,8.4,35478
310M200US49180,49180,"Winston-Salem, NC",18.7,34.6,37.3,9.5,32374
310M200US49340,49340,"Worcester, MA",11.2,31.4,44.7,12.7,42527
310M200US49420,49420,"Yakima, WA",31.5,38.7,26.4,3.4,26848
310M200US49620,49620,"York, PA",14.7,40.2,36,9.2,37448
310M200US49660,49660,"Youngstown, OH",17.1,36.4,39.9,6.7,30510
310M200US49700,49700,"Yuba City, CA",18.4,33.5,44.1,4,30500
310M200US49740,49740,"Yuma, AZ",20.9,32.7,43.4,2.9,26153
