GISJOIN,,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,Cnty_Trct,NAME,Total,OnlyEnglish,Spanish,French,FrenchCreole,Italian,Portuguese,German,Yiddish,OtherWestGermanic,Scandinavian,Greek,Russian,Polish,Serbo-Croatian,OtherSlavic,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndo-European,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacificIsland,Navajo,OtherNorthAmericanIndian,Hungarian,Arabic,Hebrew,AfricanLanguages,OtherUnspecified
3.60081E+12,,2010-2014,New York,36,Queens County,81,101002,81101002,"Census Tract 1010.02, Queens County, New York",3992,0.674,0.101,0.004,0,0.004,0.001,0.005,0.012,0,0,0.001,0.101,0.002,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.088,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,101700,81101700,"Census Tract 1017, Queens County, New York",5633,0.582,0.038,0,0,0.12,0,0,0,0,0,0.02,0.009,0,0.04,0,0,0.003,0,0,0,0.022,0,0.122,0.026,0.012,0,0,0,0,0,0.005,0,0,0,0,0,0,0.002,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,102900,81102900,"Census Tract 1029, Queens County, New York",3350,0.462,0.133,0.015,0,0.107,0,0.013,0,0,0,0.05,0.003,0,0.038,0,0,0.008,0,0,0.005,0,0,0.048,0,0.092,0,0,0,0,0,0.003,0.01,0,0,0,0.007,0.006,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,103201,81103201,"Census Tract 1032.01, Queens County, New York",6511,0.66,0.294,0.005,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,103202,81103202,"Census Tract 1032.02, Queens County, New York",6012,0.569,0.291,0,0.016,0.003,0,0.007,0.018,0,0,0,0.001,0.001,0.013,0,0,0.001,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0.034,0.012,0.025
3.60081E+12,,2010-2014,New York,36,Queens County,81,103300,81103300,"Census Tract 1033, Queens County, New York",3803,0.495,0.05,0.002,0,0.161,0,0.003,0,0,0,0.071,0,0.003,0.02,0.007,0,0,0,0,0,0,0,0.097,0,0.083,0,0,0,0,0,0.005,0,0,0,0,0,0,0.001,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,103900,81103900,"Census Tract 1039, Queens County, New York",6529,0.376,0.124,0.004,0,0.061,0.004,0,0,0,0,0.114,0,0,0.01,0.005,0.011,0,0,0,0,0.003,0.042,0.163,0.031,0.038,0,0,0,0,0.002,0,0.002,0,0,0,0,0.011,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,104700,81104700,"Census Tract 1047, Queens County, New York",6392,0.316,0.145,0,0,0.12,0,0,0,0,0.003,0.058,0.018,0,0,0.009,0,0.033,0,0.012,0,0,0.008,0.203,0.008,0.056,0,0,0,0,0,0,0.006,0,0,0,0,0.003,0.002,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,105900,81105900,"Census Tract 1059, Queens County, New York",3614,0.47,0.079,0,0,0.071,0,0.002,0.008,0,0,0.08,0,0.006,0.024,0.003,0,0.003,0,0,0,0,0.01,0.144,0,0.039,0,0,0,0,0.015,0.021,0.015,0,0,0,0,0.01,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,107201,81107201,"Census Tract 1072.01, Queens County, New York",1908,0.93,0.031,0,0,0.009,0,0.003,0,0,0,0,0.003,0.013,0,0.003,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005
